Select,Motivation_Statement,Motivation_Type,Description,Underlying_Need_Or_Desire,Strength_Or_Importance_Indication,Source_Document_Reference,Evidence_Snippets,Keywords
true,To avoid health risks associated with aluminum in deodorants,Emotional,"Users are motivated by concerns about the toxic effects of aluminum, including links to health issues like autoimmune diseases and cancer, driving them to seek natural, aluminum-free options.",Safety and health security,Critical,comments from various posts about health risks of aluminum,"['He said go using natural non aluminum deodorant.', 'Why do companies make toxic “health” products and why it’s even legal to sell them?', 'Aluminum is only toxic. Now imagine the consequences of injecting it intramuscularly into every person repeatedly throughout infancy, childhood and adulthood.']","['aluminum', 'health risks', 'toxicity', 'natural deodorant', 'health']"
true,To feel confident and fresh without harmful chemicals,Emotional,"Users want to maintain personal freshness and confidence while avoiding ingredients they perceive as harmful or irritating, such as baking soda or synthetic chemicals.",Personal hygiene and confidence,Major,comments about deodorant efficacy and irritation,"['It works for me and my husband (who used to use clinical strength deodorant).', 'Most of the ones I’ve found that work have baking soda and my pits can’t handle it.', 'I’ve tried a few, none of them keep me dry at all… and I get rashes from them.']","['confidence', 'freshness', 'irritation', 'effectiveness', 'personal hygiene']"
true,To align personal care choices with environmental values,Emotional,"Users are driven by a desire to reduce plastic waste and support sustainable practices, choosing refillable and eco-friendly deodorant products.",Environmental responsibility,Moderate to strong,"posts about Wild Refill, eco-friendly packaging, and sustainability","['Discover the magic of @wildrefill... thanks to Wild’s innovative refillable cases.', 'Imagine a world where your daily routine doesn’t contribute to plastic waste—thanks to Wild’s refillable cases.', 'Say goodbye to single-use plastics and hello to a future where every small change makes a big impact.']","['sustainability', 'eco-friendly', 'refillable', 'plastic waste', 'environment']"
true,To find a natural deodorant that works effectively in demanding situations,Functional,"Users seek deodorants that are both natural and highly effective, especially during intense activities or in hot, humid conditions, ensuring they stay fresh and dry.",Reliability and performance,Critical,"reviews of Sonder deodorant, comments about sweating and effectiveness","['This deodorant removes scent entirely and is actually crazy how effective it is.', 'Can’t wait to see how it holds up in 35° with humidity.', 'It’s so different… and I smell haha.']","['effectiveness', 'performance', 'reliability', 'active lifestyle', 'hot weather']"
true,"To make informed, health-conscious choices in personal care",Emotional,Users are motivated by the desire to educate themselves about product ingredients and to select products that are safer and better for their health.,Knowledge and empowerment,Major,"posts emphasizing research, product ingredient transparency, and personal experimentation","['We only bring in the products that are the best of the best.', 'Making the swap makes life a whole lot easier and healthier.', ""It's so true! No going back once you learn what mainstream deodorant does.""]","['education', 'health-conscious', 'transparency', 'empowerment', 'informed choices']"
true,"To support small, local, or purpose-driven brands",Social,"Users are motivated by a desire to support community-based and purpose-driven businesses, often choosing products from local or women-led brands to align with their values.",Belonging and social contribution,Moderate,"posts supporting local brands, small business features, and women entrepreneurs","['Support local and carry them at Silver Icing!', 'Build with purpose and scale with intention.', 'Supporting women entrepreneurs and local businesses.']","['support small business', 'community', 'local brands', 'purpose-driven', 'social impact']"
true,To align personal health practices with natural and holistic lifestyles,Emotional,"Users are driven by a holistic view of health, preferring natural, chemical-free, and minimally processed products that fit into a lifestyle of wellness and self-care.",Well-being and authenticity,Major,"posts about natural ingredients, detox phases, and embracing body hair","[""You don't need any deodorant ❤️❤️😮"", 'Let your body breathe naturally.', 'Be natural and let your body breathe naturally.']","['holistic health', 'natural lifestyle', 'self-care', 'authenticity', 'wellness']"
true,To align with environmentally sustainable and cruelty-free practices.,Functional / Emotional,"The user is motivated by the desire to choose products that are eco-friendly, cruelty-free, and reduce waste, rooted in values of sustainability and compassion.","Environmental responsibility, ethical consumption, and security in making ethical choices.",Critical; highlighted as a key reason why consumers prefer Get Fussy deodorant.,Main excerpt about Get Fussy deodorant reasons,"['reducing your carbon footprint', 'Vegan and Cruelty-Free: No animals are harmed in the making of this deodorant', 'Refillable Options: Offers refillable packaging options to further reduce waste', 'These reasons showcase why Get Fussy deodorant stands out as a favourite choice for many.']","['eco-friendly', 'cruelty-free', 'sustainable', 'refillable', 'ethical']"
true,To feel confident and comfortable in my own skin without exposing myself to harmful chemicals.,Emotional,"The user seeks a natural, chemical-free deodorant to avoid health risks and skin irritation associated with synthetic ingredients.","Health, safety, skin comfort, and peace of mind.",Strong; frequently mentioned in comments and posts emphasizing health and safety concerns.,"Comments about chemical ingredients, reactions, and preferences for natural deodorants","['I was told that you are not supposed to use lemon directly on the skin', 'Worked the best for me.... until I developed a severe irritation', 'No aluminum. No harsh chemicals. Just clean, biodegradable freshness that works.']","['health', 'safety', 'chemical-free', 'irritation', 'natural']"
true,To achieve a sense of freshness and cleanliness throughout the day.,Functional,"Users want a deodorant that effectively controls odor and sweat, providing a feeling of freshness and confidence.","Personal hygiene, freshness, and social acceptance.",Critical; essential for daily confidence and social comfort.,Multiple comments about odor control and effectiveness,"['tough on odor, and made for everyday confidence', 'I never stink', 'It’s gentle on skin, tough on odor']","['odor control', 'freshness', 'confidence', 'hygiene', 'effectiveness']"
